sff_block_original_cor_postprocessed 94.2918 94.3231 95.4751 97.1429 97.284 96.6146 97.2973 97.2222 97.1264 96.8023 97.3214 97.2644 97.1875 96.7532 95.6667 95.9044 96.4029 96.9582 97.2222 95.9016
sff_block_original 95.3488 94.9782 96.3801 97.381 97.284 96.875 97.5676 97.2222 97.1264 96.8023 97.3214 97.2644 97.1875 96.7532 95.6667 95.9044 96.4029 96.9582 97.2222 95.9016
sff_block_trfhmm2_cor 92.1776 93.6681 94.7964 95.4762 95.8025 95.5729 97.2973 96.3889 96.8391 96.8023 97.3214 97.2644 97.1875 96.7532 95.3333 95.5631 96.4029 96.9582 97.2222 95.9016
sff_block_trfhmm2_cor_postprocessed 93.4461 94.3231 95.7014 96.4286 96.5432 95.5729 97.027 96.3889 96.8391 96.8023 97.3214 97.2644 96.875 96.4286 95.6667 95.9044 96.4029 96.9582 97.2222 95.9016
sff_block_trfhmm_cor 91.7548 93.4498 94.7964 95.4762 96.0494 95.8333 97.5676 96.3889 96.8391 96.8023 97.3214 97.2644 97.1875 96.7532 95.3333 95.5631 96.4029 96.9582 97.2222 95.9016
sff_block_trfhmm_cor_postprocessed 93.2347 94.3231 95.7014 96.6667 96.7901 95.8333 97.2973 96.3889 96.8391 96.8023 97.3214 97.2644 96.875 96.4286 95.6667 95.9044 96.4029 96.9582 97.2222 95.9016
sff_block_viterbi_cor 88.7949 90.6114 93.2127 94.2857 95.0617 95.5729 96.4865 95.8333 95.6897 96.2209 97.0238 96.3526 96.5625 95.7792 94.3333 94.5392 95.6835 96.5779 96.4286 95.9016
sff_block_viterbi_cor_postprocessed 91.5433 92.3581 94.5701 96.1905 96.5432 96.0938 96.7568 96.3889 96.2644 96.5116 97.0238 96.3526 96.25 95.4545 94.6667 94.8805 95.6835 96.5779 96.4286 95.9016
sff_block_viterbi 87.1036 89.3013 91.4027 92.8571 94.5679 95.3125 95.6757 95 94.8276 95.3488 96.4286 96.0486 96.875 96.1039 95 94.8805 95.6835 96.1977 96.4286 95.4918
sff_block_viterbi_high2_cor 80.5497 86.2445 89.1403 90 91.8519 94.0104 95.6757 95.2778 95.4023 95.3488 95.2381 95.7447 94.6875 95.1299 93.6667 93.5154 93.8849 94.6768 94.4444 93.4426
sff_block_viterbi_high2_cor_postprocessed 83.9323 88.4279 90.724 91.6667 93.0864 94.5312 95.9459 95.2778 95.4023 95.6395 95.5357 95.7447 94.6875 94.8052 94.3333 93.8567 94.2446 94.6768 94.4444 94.2623
sff_block_viterbi_high2_orig_cor 93.0233 93.4498 95.4751 96.4286 96.2963 96.3542 96.4865 97.2222 97.1264 97.093 97.0238 97.2644 96.875 96.4286 94.6667 94.8805 95.6835 96.1977 96.4286 95.9016
sff_block_viterbi_high_cor 57.907 61.1511 63.2754 65.445 67.1196 69.2308 71.0914 70.5167 71.6088 72.2045 72.459 73.1544 73.7024 75.9857 74.5387 75.6554 75 77.8243 78.6957 80.3571
sff_block_viterbi_high_cor_postprocessed 61.1628 65.2278 66.7494 68.8482 72.0109 73.7892 74.9263 74.772 75.0789 75.7188 75.4098 76.1745 76.8166 78.1362 76.3838 77.5281 76.9841 79.9163 80.8696 83.0357
sff_block_viterbi_hmm2_cor 72.3044 73.7991 76.4706 79.5238 81.7284 83.3333 85.9459 86.3889 87.3563 88.6628 88.6905 88.7538 88.75 89.2857 89.6667 89.0785 89.9281 92.3954 93.254 92.2131
sff_block_viterbi_hmm2_cor_postprocessed 87.9493 89.738 92.9864 93.3333 94.5679 94.2708 95.4054 96.1111 96.5517 96.5116 96.7262 96.3526 96.25 95.7792 95 94.198 94.964 96.1977 96.8254 94.2623
sff_block_viterbi_hmm_cor 70.8245 73.7991 75.5656 78.3333 79.7531 80.9896 84.8649 84.7222 85.6322 86.6279 86.6071 86.3222 88.125 89.2857 89 88.7372 89.2086 90.4943 91.2698 90.1639
sff_block_viterbi_hmm_cor_postprocessed 87.5264 89.9563 92.0814 93.0952 93.5802 93.2292 95.1351 95 95.6897 95.9302 95.5357 94.8328 95.625 95.4545 94 93.1741 94.2446 95.4373 96.0317 93.4426
sff_block_viterbi_original_cor 94.0803 94.1048 95.4751 96.9048 96.0494 96.875 97.2973 97.2222 97.1264 97.093 97.0238 97.2644 96.875 96.4286 95 94.8805 96.0432 96.5779 96.0317 95.9016
